comment,label
Nem Vallah ne deyim kasibjn balasi gedecek amma beleda negeder sehid veririk bir yolug olsa milet sakitewer,0
bize nazir yox tehsil lazımdı size serf elemesede!!!!,0
Siz olesuz damuzu daqidaciq qacun werefsizler.,0
Elbetkii eledir..Eslinde cibinde pulu olan lap çox vetenin sefasin çekir bunu bilirik..Cefasinda çekmeli kii...cekdiyi sefa harami olmasin..,0
bu 31 nefer beyemiyen bezileri boynu yogun olanlar kimlerdi goren,0
qirin köpəkləri,0
Osturaga ele basin ki inamli olsun ne heyacan siqnali ne suwa,0
ölüneee vijdansızlar,0
demek xalgin icinde narir vezifesine heckim layig deyil.hami savadsiz ve tupoydu?bu qeder kelleli gencler hani.niye axi yalniz yuxardan yuxari teyin olunurlar..beyem awagda savadli insan yoxdu? demek hegigeten savadli insanlarimiz yoxdu..,0
redd olub cixmalidilar,0
yazig balalarimiz kurikulun elinnen hec oxumag istemirler. qurban olum kecmiw savada oxuyub biliyimiz olub yatdawlarimizdada qalib . indiki uwaglar dunen oyrenen weyri seheri gun soruwsan  bilmirler,0
ifritə,0
sizə sözüm yoxdu,0
büllur kimi bir ürək sindirmisam.....,0
bir konul sindirmiwam...birileri konlumu sindirib ;(((,0
"Demek olardiki Şəhid olmasin ama o varli balasida çiyin çiynə döyüşsün vətən uğrunda kasibla.
Ama nəyi səf deirki? İzah edin görəh",0
Siz bu cumləni dusunub yazirsiz?fərqi nedi hamisi öz vetendasimizdi,0
Öldürmək lazımdı onları,0
Düşməni silmək lazmdır xəritədən,0
aci dilim qurusun,0
ARTIQ BESDÌ   SÍZÌN VAXDIZ CADI CINDIRLAR  YAŞAYSIN  AZERBAYCANNN 🤘👍🤟🤟🤟QURTADR GELÌR   QACIN  CAQLAR,0
illerin sesi tarixin evezsiz sesi..... ah azerbaycan musiqisi gor kimlere qaldin indi.....????,0
cox yaxşı ancaq müəllimləri başa düşən olsun mikayıl cabarov kimi yox,0
qəbahətim olmasa da qəbahətliymişəm kimi hiss etdirdin😞,0
görek indi bu yatib yuxuda ne gorecek??   milleti gic toyuq eleyibleree 🚫,0
Gacun gəldilər AZƏRİLƏR.kökunuz kəsilsin ermyaşki,0
bize tehsil lazımdı nazır yox tehsilimiz aşağı seviyyede derslikler berbad kurikuliyum uşaqları savadsız edir,0
müəllimin əlindən çıxan şagirdlər gəlib həmin müəllifin imtahan aparır bezdik bu imtahandan vallah,0
Hər kəs varlı kasıb fərq etməz ciyin ciyinə vuruşsun,0
qorusun demekden başqa elimizden ne gelir ki. Ne olur ele kasiba olur,0
süpürgə puluna son qoysa deməli hər şey yaxşı olacağ !,0
ay qardas ay millet her yerinden duran molla penah ola bilmez aye bunun agzindan sud iyi gelir hardan tehsilin sirrlerini bilsinki bir nazirde olsun tehsil naziri sirf senetine bagli guclu pedeqoq ve en esasi  tecrubeli olmasidir,0
metni ele oxudu ki ele bil kimse olub,0
Ezabnan yasayan da kasibdi Veten ucun olende kasibdi .Kimse rast gelib bir memurun yaxudda varlinin ovladi olee🤔🤔.  Yaziq kasib tebeqe hemise zulum cekir ele her terefli 😏,0
amin bayram nursuzdarda at oynadır igidlərimizdə torpaq altda ona görə özümə bağışlaya bilmirəm bu nə həyatdı 😔,0
Xaciniiza kakas etmeye gelirik,0
Sizdə nə vaxt qeyrət olar?,0
