"Username","Comment"
"panda panda","Çox sağ olun. Kanaliniz superdir. Allah qorusun Hikmet beyi."
"Turac Allahverdiyev","HIKMET BEY ÇOX GÖZEL INSANDI.ALLAH ONA UZUN ÖMUR VE CANSAGI VERSIN.AMIN"
"Маша Мурадова","АЛЛАХ ХИКМАТ ХАЧЫЕВИН КОМАЙ ОЛСУН 🇦🇿🇦🇿🇹🇷🇹🇷👐"
"Кубинец Кубинец","Он красавчик. Реалный , достойный сын Азербайджана. Обрашаюс многим "" чиновникам"" пример берите."
"Moto G5S","Allah səni qorusun, oğul. Prezidentinizin ətrafında senin kimi oğullar olsa Vətənimiz basılmaz."
"Tarana Taghiyeva","Ilahi iller sonra Olkeye layigli memurlar goruruk, Allah gorushun🙏"
"Ceylanın Dünyası","Bizdə çox istiyirik Hikmət Hacıyevi allah onu qorusun həmişə var oosun sağ olsun bütün ailəliycə çox sevirik 👍🏻😍😘"
"Hikmet Dedecanov","İlham əliyvə bu cur sadə özunə xalqın icində hörmət qazanan məmurlar yaraşır cunki özudə cox sadədir"
"Medet Abdullayev","Çox savadlı və səlist nitqli şəxsdir.Allah can saglıgı və vəzifəsində ugurlar qismət etsin,amin.Adinin mənası üzünə yansıyıb,maşallah.👍👍👍"
"Boris Shaxov","Очень талантливый. По больше бы таких как он."
"Suna Dündar","Prezdentimizin etrafında Hikmet Naciyev kimi düzgün insanlar olmalıdır, ermeniler yox"
"КУРБАТОВ МЕР","Hikmet adı kimi hikmetlidir.Çox savadlı,elmli,alim bir kadrdır.Kaş ki,prezidentin etrafındakıların hamısı bele savadlı olaydı."
"Гражданский Взгляд","Hikmet Haçıyev Azerbayçanın müdafiə naziri olmalıdır"
"Yusif Yusif","Allah qorusun Hikmət Hacıyevi gözəl çıxışlarını izləyirik  müharibə günlərində xalqın yanında oldu ."
"Mehdi Shirinzade","NUR VARDA HIKMET HACIUEVDE ALLAHIN NEZERI DAIMA SIZINLE OLSUN HIKMET MUELLIN"
"Yegane Qasimova","Prezdentimizin etrafi sizin kimilerle cox olsa bizim geleceyimiz parlaq olar"
"Sivri Oyuncu","Allah qorusun Azərbaycanın qeyrətli hikmətli Hikmətlərini🤲"
"Диана Пелщ","Добрый день всем, спасибо авторо статьи.  Великих людей всегда были в Азербайджане и ещё будет. Надо всегда идти перёд"
"Qalib Huseynov","Allah seni qorusun bizim fexrimiz . cenab  ali baş kamandanımızın yanında reşadetli ordumuz yumrug kimi xalqımız ve birde sizin kimi temiz vetenini seven bir insan ve insanlar olmalıdır.!"
"Qulbeniz Haciyeva","ALLAH QORUSUN ALLAH VƏTƏNİMİZƏ COX QÖRMƏSİN QEYRƏTLİ OQUL MİLLİ QƏHRƏMAN VƏ QENERAL RÜTBƏSİNƏ LAYİQ BİR İNSANDIR"
"Bahar Shrnva","Allah vetenimiz milletimiz dovletimizi ucun yaxwi iş gorenlerin her zaman yardimcisi olsun inweAllah💚❤💙👐"
"Роза Гаджиева","Hikmet Haciyevi coxdandi gormuruk,lap darixdiq onun ucun!Allah cans saqliqi versin!"
"Turkan Sağım","ALLAH ONU KORUSUN.ALLAH ONU DAİM VAR ETSİN. ONA CANIM QURBAN OLSUN.AZARBAYCANIN HAVASI-SUYU ONA HELAL OLSUN.CANIM ONA QURBAN OLSUN.🤲🤲🤲"
"Orxan Orucov","Ela .Allah one uzun omur ve can sagligi versin Yasasin bele ogullar"
"Anar Ismailov","Һикмəт Мəллим вəзифəсинə Лайигли инсанды Аллаһ өмүр версин."
"Слово Жизни","Uz gozunden gorurduk.Hec yatmirdi.Cox dua etdik.Ya allah ogullarimizi qoru.Zehin aciqligi ver.Uzunde nur olan ogullarimiz.100 yawayin."
"Жаля Алиева","Allah razi olsun🙏 Hikmet Beyden InwaAllah🤲"
"Billur Salehova","Allah qorusun sizin kimi ogullar nə qədər cox olsa yaxşıdır"
"Xanim Nuri","GOZEL TERBIYELI INSANPERVERLIYI UZUNDEN GORUNEN  ETIKA VE ESTETIKA QAYDASI YERINDE OLAN IGID VE MERHEMETLI INSAN HIKMET HACIYEVI AILEMIZ COX SEVIR👏👏👏👏👏👍👍👍🇹🇷🇹🇷🇹🇷🇦🇿🇦🇿🇦🇿🇦🇿❤❤❤❤❤❤"
"Bedel Huseyn","Allah qorusun qeyrətli Azərbaycan ogullarımızı...."
"Revayet Aliyev","Hikmet Haciyevi ne zaman TV de gorende ehval ruhiyyem yukselir ve cox sevinirem.Allah ona uzun omur can sagi versin.Vetene layiqli ovladsan.Bas Nazir olsan cox sevinerik."
"Seadet Feyzullayeva","Allah qorusun hamîsını. Sizi de onların sırasında. Bax bele bilik ve qeyret dòvletimizi daha  da qwvvetli edecek inśallah"
"Racab Haydarov","Mən bir Gəncəli olaraq sizinlə fəxr edirəm HİKMƏT MÜƏLLİM ALLAH SİZİ QORUSUN ."
"Agif Niyazov","GƏNCƏDƏN HİKMƏT HACIYEVƏ VƏ BÜTÜN HİKMƏTLƏRİMİZƏ CAN SAGLIGI DİLƏYİRİK."
